CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,92.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,48.69,80.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,71.62,90.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,71.62,90.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,84.06,93.46,8.12,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,82.75,92.34,45.86,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,73.58,93.22,48.12,0.0,0.0,0.0,0.4,0.0,0.0
Task 8,70.96,90.11,60.9,0.0,0.0,0.0,0.27,0.67,0.0
Task 9,71.18,92.03,62.56,0.0,0.0,0.0,0.13,0.0,0.0

	Average accuracy = 25.1
	Average forgetting = 6.53
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,54.15,83.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,68.12,90.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,68.12,90.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,73.14,92.42,25.86,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,75.11,90.27,26.92,0.0,3.92,0.0,0.0,0.0,0.0
Task 7,71.62,93.38,26.92,0.0,13.73,0.47,1.69,0.0,0.0
Task 8,64.19,92.5,25.56,0.0,20.04,1.94,0.61,0.0,0.0
Task 9,68.78,89.47,26.17,0.0,15.58,1.48,1.21,0.0,0.0

	Average accuracy = 22.52
	Average forgetting = 2.79
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,76.86,83.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,88.86,84.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,88.86,84.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,90.83,85.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,92.36,79.51,39.7,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,84.06,83.33,45.41,0.0,0.0,1.48,0.0,0.0,0.0
Task 8,75.98,81.26,41.65,0.0,0.0,1.71,0.0,4.0,0.0
Task 9,81.22,82.38,41.2,0.0,0.0,1.86,0.0,0.0,0.0

	Average accuracy = 22.96
	Average forgetting = 4.3
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,58.73,85.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,73.36,90.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,73.36,90.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,74.45,92.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,74.02,90.99,14.44,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,77.73,92.82,43.76,0.0,0.0,0.0,0.0,0.0,0.0
Task 8,71.18,93.7,38.2,0.0,0.54,0.0,0.0,0.17,0.0
Task 9,67.9,93.86,41.95,0.0,3.27,0.23,0.0,0.0,0.0

	Average accuracy = 23.02
	Average forgetting = 3.17
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,77.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,61.79,88.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,61.79,88.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,61.79,88.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,67.03,91.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,76.42,92.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,82.1,93.22,0.0,0.0,16.23,0.0,0.0,0.0,0.0
Task 8,60.48,93.78,0.9,0.0,7.3,0.0,0.0,1.0,0.0
Task 9,60.48,93.78,0.9,0.0,7.3,0.0,0.0,1.0,0.0

	Average accuracy = 18.16
	Average forgetting = -0.41
