CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,96.94,95.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,92.58,95.06,96.54,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,95.85,93.14,95.34,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,92.58,93.78,95.19,100.0,91.18,0.0,0.0,0.0,0.0
Task 6,89.3,93.94,94.14,100.0,91.61,95.73,0.0,0.0,0.0
Task 7,91.48,94.1,94.89,100.0,90.09,95.19,91.97,0.0,0.0
Task 8,89.3,94.02,95.19,100.0,89.98,95.03,92.65,98.5,0.0
Task 9,88.86,93.46,95.19,100.0,90.63,94.49,90.69,97.67,85.37

	Average accuracy = 92.93
	Average forgetting = -1.8
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,95.85,94.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,91.7,94.9,96.39,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,92.79,92.66,96.84,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,94.32,94.02,96.39,100.0,89.98,0.0,0.0,0.0,0.0
Task 6,92.58,93.94,94.59,100.0,89.22,96.2,0.0,0.0,0.0
Task 7,91.27,92.74,96.54,100.0,89.98,95.73,93.66,0.0,0.0
Task 8,76.86,92.9,93.83,100.0,88.78,95.11,92.71,98.33,0.0
Task 9,88.43,91.23,96.09,100.0,87.47,96.12,92.71,97.33,79.51

	Average accuracy = 92.1
	Average forgetting = -2.05
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,91.05,93.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,91.05,93.86,95.94,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,86.9,92.42,98.2,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,92.36,93.06,96.69,100.0,92.27,0.0,0.0,0.0,0.0
Task 6,95.2,91.63,96.54,100.0,90.63,95.5,0.0,0.0,0.0
Task 7,94.54,94.1,95.79,100.0,89.11,96.43,93.32,0.0,0.0
Task 8,96.72,92.98,95.34,100.0,89.87,96.04,91.57,98.17,0.0
Task 9,90.61,93.86,95.94,100.0,90.2,95.11,88.87,96.33,87.32

	Average accuracy = 93.14
	Average forgetting = -1.56
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,97.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,91.48,94.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,92.14,93.46,96.84,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,84.93,93.14,96.09,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,89.74,93.14,95.34,100.0,90.63,0.0,0.0,0.0,0.0
Task 6,95.41,92.98,95.79,100.0,91.29,95.73,0.0,0.0,0.0
Task 7,90.61,93.86,95.49,100.0,88.67,95.03,93.18,0.0,0.0
Task 8,89.74,93.86,95.49,100.0,87.36,94.8,90.08,97.5,0.0
Task 9,87.34,94.5,96.09,100.0,89.76,94.1,90.55,97.83,84.39

	Average accuracy = 92.73
	Average forgetting = -1.93
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,94.54,94.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,91.92,93.62,96.24,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,94.32,94.5,97.89,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,94.98,95.06,98.2,100.0,91.5,0.0,0.0,0.0,0.0
Task 6,92.14,91.15,97.74,100.0,91.18,94.02,0.0,0.0,0.0
Task 7,94.54,92.82,96.69,100.0,89.87,95.73,93.99,0.0,0.0
Task 8,94.32,94.1,98.35,100.0,90.63,95.5,90.42,98.0,0.0
Task 9,92.58,94.34,95.04,100.0,90.2,95.81,91.09,97.5,82.93

	Average accuracy = 93.28
	Average forgetting = -0.95
