CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,87.99,23.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,90.17,35.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,90.17,35.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,91.27,56.38,0.0,0.0,5.23,0.0,0.0,0.0,0.0
Task 6,91.05,52.71,0.0,0.0,0.0,23.84,0.0,0.0,0.0
Task 7,90.39,41.15,0.3,4.07,0.0,12.5,0.0,0.0,0.0
Task 8,88.21,54.23,23.76,18.31,0.0,8.85,0.0,23.17,0.0
Task 9,81.66,41.47,15.04,12.2,0.0,16.38,0.0,0.0,36.59

	Average accuracy = 22.59
	Average forgetting = -0.44
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,76.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,95.41,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,90.83,16.59,19.1,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,90.83,16.59,19.1,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,93.45,24.56,10.98,0.0,2.72,0.0,0.0,0.0,0.0
Task 6,84.93,31.98,15.49,0.0,0.11,23.68,0.0,0.0,0.0
Task 7,76.2,35.89,21.95,15.25,0.0,19.1,30.23,0.0,0.0
Task 8,75.33,40.99,26.02,22.37,0.0,51.48,0.0,39.83,0.0
Task 9,75.33,40.99,26.02,22.37,0.0,51.48,0.0,39.83,0.0

	Average accuracy = 28.45
	Average forgetting = 6.86
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,93.45,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,91.7,64.59,30.23,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,91.7,64.59,30.23,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,89.74,67.86,24.36,0.0,27.67,0.0,0.0,0.0,0.0
Task 6,85.59,71.85,23.01,0.0,22.77,44.02,0.0,0.0,0.0
Task 7,86.46,69.46,21.5,0.0,24.95,17.7,44.47,0.0,0.0
Task 8,74.02,80.06,18.8,0.0,22.22,17.16,3.1,21.33,0.0
Task 9,74.02,80.06,18.8,0.0,22.22,17.16,3.1,21.33,0.0

	Average accuracy = 26.3
	Average forgetting = -8.77
