CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,92.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,65.5,93.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,75.98,92.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,75.98,92.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,70.09,93.86,3.46,0.0,6.21,0.0,0.0,0.0,0.0
Task 6,71.18,93.38,22.26,0.0,8.39,0.0,0.0,0.0,0.0
Task 7,70.96,93.62,39.4,0.0,21.02,0.0,0.0,0.0,0.0
Task 8,67.25,93.06,38.8,0.0,20.15,0.0,0.0,0.5,0.0
Task 9,64.41,93.06,36.99,0.0,16.01,0.0,0.0,0.0,0.0

	Average accuracy = 23.39
	Average forgetting = 2.22
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,62.45,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,68.56,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,68.56,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,66.59,91.39,21.35,0.0,31.92,0.0,0.0,0.0,0.0
Task 6,62.66,92.58,13.68,0.0,14.49,1.63,0.0,0.0,0.0
Task 7,64.19,92.58,16.24,0.0,18.63,0.47,0.0,0.0,0.0
Task 8,62.23,94.02,24.21,0.0,19.5,0.23,0.0,1.5,0.0
Task 9,62.23,94.02,24.21,0.0,19.5,0.23,0.0,1.5,0.0

	Average accuracy = 22.41
	Average forgetting = -2.69
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,84.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,76.42,83.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,76.42,83.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,76.42,83.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,76.42,83.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,86.03,85.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,89.52,84.37,0.0,0.0,0.0,1.01,0.0,0.0,0.0
Task 8,85.81,85.01,35.94,0.0,0.0,6.91,0.0,14.83,0.0
Task 9,87.55,86.2,30.98,0.0,0.0,10.48,0.0,5.5,0.0

	Average accuracy = 24.52
	Average forgetting = 4.67
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,69.21,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,75.11,93.7,22.71,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,75.11,93.7,22.71,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,68.34,94.66,13.83,0.0,7.95,0.0,0.0,0.0,0.0
Task 6,63.76,93.38,14.44,0.0,4.9,0.0,0.0,0.0,0.0
Task 7,60.04,92.03,17.44,0.0,8.28,0.0,0.0,0.0,0.0
Task 8,55.68,92.34,18.95,0.0,5.56,0.0,0.0,0.0,0.0
Task 9,58.95,92.34,17.59,0.0,4.25,0.0,0.0,0.0,0.0

	Average accuracy = 19.24
	Average forgetting = -6.0
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,76.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,69.87,94.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,69.87,94.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,69.87,94.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,76.86,94.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,79.26,92.42,0.0,0.0,4.03,0.0,0.0,0.0,0.0
Task 7,75.76,93.7,0.0,0.0,6.1,0.0,0.13,0.0,0.0
Task 8,79.26,94.5,0.0,0.0,8.06,0.0,0.0,0.0,0.0
Task 9,71.4,94.98,0.0,0.0,6.86,0.39,0.07,0.0,0.0

	Average accuracy = 19.3
	Average forgetting = 0.37
