CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,92.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,57.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,34.28,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,72.71,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,50.0,44.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,41.05,40.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,66.59,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 8,67.03,39.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,34.06,38.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 8.02
	Average forgetting = -9.77
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,68.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,70.74,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,72.27,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,22.93,47.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0
Task 6,45.2,44.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,74.02,40.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 8,59.61,32.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,38.43,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 5.31
	Average forgetting = -14.56
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,84.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,78.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,50.66,42.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,48.03,59.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,63.32,40.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,26.86,28.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,48.47,37.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 8,25.76,36.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,14.85,41.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 6.28
	Average forgetting = -13.34
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,97.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,69.21,8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,77.95,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,55.9,14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,51.75,17.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,47.38,39.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 8,27.73,40.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,20.96,39.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 6.74
	Average forgetting = -7.87
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,77.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,53.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,66.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,56.11,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,5.46,39.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,62.01,39.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 8,50.87,35.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,27.95,7.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 3.99
	Average forgetting = -14.39
