CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,92.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,65.5,93.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,65.5,93.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,65.5,93.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,70.96,93.54,0.0,0.0,9.8,0.0,0.0,0.0,0.0
Task 6,73.8,92.03,0.0,0.0,9.48,0.0,0.0,0.0,0.0
Task 7,72.71,92.74,0.0,0.0,36.71,0.0,0.0,0.0,0.0
Task 8,69.65,92.34,0.0,0.0,33.66,0.0,0.0,0.0,0.0
Task 9,68.12,93.46,0.0,0.0,32.14,0.0,0.0,0.0,0.0

	Average accuracy = 21.52
	Average forgetting = -0.26
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,64.19,92.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,71.83,92.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,71.83,92.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,67.25,94.42,11.73,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,62.66,91.47,18.8,0.0,3.7,24.77,0.0,0.0,0.0
Task 7,67.9,89.39,47.22,0.0,10.02,7.53,27.26,0.0,0.0
Task 8,59.17,90.75,41.65,0.0,8.82,6.21,8.16,0.0,0.0
Task 9,59.17,90.75,41.65,0.0,8.82,6.21,8.16,0.0,0.0

	Average accuracy = 23.86
	Average forgetting = -3.23
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,76.2,83.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,83.84,86.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,83.84,86.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,86.24,84.61,47.07,0.0,13.83,0.0,0.0,0.0,0.0
Task 6,87.99,82.22,61.65,0.0,15.8,0.0,0.0,0.0,0.0
Task 7,77.95,81.66,66.62,0.0,31.15,0.0,4.99,0.0,0.0
Task 8,68.12,83.41,61.95,0.0,34.42,0.0,0.88,0.0,0.0
Task 9,84.06,81.82,67.37,0.0,47.17,0.0,1.55,0.0,30.73

	Average accuracy = 34.74
	Average forgetting = 11.87
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,68.34,93.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,76.2,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,76.2,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,78.82,94.1,8.87,0.0,5.12,0.0,0.0,0.0,0.0
Task 6,73.8,94.98,15.64,0.0,2.61,0.0,0.0,0.0,0.0
Task 7,68.34,94.42,24.21,0.0,4.79,0.0,0.0,0.0,0.0
Task 8,67.9,92.58,37.44,0.0,10.13,0.0,0.0,1.83,0.0
Task 9,67.9,92.58,37.44,0.0,10.13,0.0,0.0,1.83,0.0

	Average accuracy = 23.32
	Average forgetting = 1.51
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,76.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,68.78,94.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,68.78,94.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,68.78,94.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,76.42,95.06,0.0,0.0,5.01,0.0,0.0,0.0,0.0
Task 6,78.38,94.1,0.0,0.0,5.12,0.0,0.0,0.0,0.0
Task 7,72.71,94.5,0.0,0.0,20.37,0.0,1.75,0.0,0.0
Task 8,74.24,93.94,0.0,0.0,22.0,0.0,0.4,0.0,0.0
Task 9,64.63,94.42,0.0,0.0,25.38,0.0,1.35,0.0,25.85

	Average accuracy = 23.51
	Average forgetting = 1.01
