Computers dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,88.59,0.0,0.0,0.0,0.0
Task 2,87.1,99.52,0.0,0.0,0.0
Task 3,94.18,91.48,97.93,0.0,0.0
Task 4,89.85,98.08,97.38,99.5,0.0
Task 5,98.7,99.24,98.13,99.13,98.56

	Average accuracy = 98.75
	Average forgetting = 2.42
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,77.72,0.0,0.0,0.0,0.0
Task 2,90.9,99.18,0.0,0.0,0.0
Task 3,81.57,98.56,97.52,0.0,0.0
Task 4,89.85,98.49,94.93,99.5,0.0
Task 5,92.73,98.97,96.4,99.01,97.89

	Average accuracy = 97.0
	Average forgetting = 3.3
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,80.17,0.0,0.0,0.0,0.0
Task 2,88.31,99.45,0.0,0.0,0.0
Task 3,81.95,98.35,97.66,0.0,0.0
Task 4,95.77,98.83,94.74,99.13,0.0
Task 5,97.74,98.9,96.88,99.13,97.89

	Average accuracy = 98.11
	Average forgetting = 4.06
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,80.8,0.0,0.0,0.0,0.0
Task 2,88.59,98.76,0.0,0.0,0.0
Task 3,56.79,87.64,97.24,0.0,0.0
Task 4,75.07,91.21,95.55,99.5,0.0
Task 5,91.15,92.86,97.38,99.5,98.25

	Average accuracy = 95.83
	Average forgetting = 1.15
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,78.01,0.0,0.0,0.0,0.0
Task 2,94.95,98.9,0.0,0.0,0.0
Task 3,85.47,96.77,97.76,0.0,0.0
Task 4,88.79,98.15,97.6,99.5,0.0
Task 5,97.88,99.18,97.24,99.01,97.89

	Average accuracy = 98.24
	Average forgetting = 4.79
