Computers dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,87.78,0.0,0.0,0.0,0.0
Task 2,82.39,98.76,0.0,0.0,0.0
Task 3,82.53,99.18,96.94,0.0,0.0
Task 4,88.64,98.97,96.31,99.38,0.0
Task 5,83.54,99.11,95.89,99.25,96.3

	Average accuracy = 94.82
	Average forgetting = -1.27
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,79.74,0.0,0.0,0.0,0.0
Task 2,81.62,98.97,0.0,0.0,0.0
Task 3,78.49,99.38,98.01,0.0,0.0
Task 4,77.05,99.24,96.9,99.25,0.0
Task 5,82.44,99.11,97.1,99.38,97.28

	Average accuracy = 95.06
	Average forgetting = 0.52
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,72.76,0.0,0.0,0.0,0.0
Task 2,79.07,99.31,0.0,0.0,0.0
Task 3,74.69,98.7,97.83,0.0,0.0
Task 4,82.44,99.24,93.98,99.5,0.0
Task 5,86.67,99.52,97.12,99.38,97.69

	Average accuracy = 96.08
	Average forgetting = 3.32
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,82.15,0.0,0.0,0.0,0.0
Task 2,73.0,98.97,0.0,0.0,0.0
Task 3,75.65,99.31,92.43,0.0,0.0
Task 4,77.57,99.18,88.86,99.63,0.0
Task 5,77.29,98.9,95.87,99.5,97.33

	Average accuracy = 93.78
	Average forgetting = -0.41
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,78.44,0.0,0.0,0.0,0.0
Task 2,75.84,99.24,0.0,0.0,0.0
Task 3,71.46,99.45,98.49,0.0,0.0
Task 4,72.95,99.45,97.26,99.5,0.0
Task 5,77.53,99.38,97.34,99.25,97.64

	Average accuracy = 94.23
	Average forgetting = -0.54
