None;0.5;43.29150006799945
[12, 5, 9, 8, 11, 6, 12, 6];-0.5;0.0
[11, 5, 11, 6, 14, 8, 12, 10];-0.5;0.0
[10, 5, 9, 7, 10, 10, 11, 2];-0.5;0.0
[10, 6, 10, 4, 10, 4, 14, 4];-0.5;0.0
[8, 8, 12, 4, 11, 8, 12, 6];-0.5;0.0
[9, 8, 8, 5, 13, 4, 12, 4];-0.5;0.0
[10, 8, 8, 8, 13, 2, 12, 4];-0.5;0.0
[9, 7, 12, 7, 11, 6, 11, 2];-0.5;0
[8, 4, 9, 8, 10, 8, 13, 4];-0.5;0
[12, 5, 8, 4, 12, 10, 11, 10];-0.5;0
[10, 4, 12, 4, 11, 10, 14, 8];-0.5;0
[9, 8, 12, 8, 11, 4, 13, 8];-0.5;0
[9, 8, 10, 8, 11, 6, 14, 2];-0.5;0
[12, 7, 9, 7, 14, 6, 12, 4];-0.5;0
[10, 6, 8, 7, 12, 2, 10, 2];-0.5;0
[9, 6, 9, 4, 10, 6, 11, 2];-0.5;0
[9, 5, 8, 4, 14, 2, 12, 8];-0.5;0
[10, 5, 9, 8, 10, 8, 14, 10];-0.5;0
[9, 5, 12, 8, 14, 4, 12, 2];-0.5;0
[8, 7, 8, 8, 14, 6, 12, 10];-0.5;0
[11, 8, 11, 8, 11, 8, 10, 8];-0.5;0
[11, 7, 10, 5, 13, 4, 12, 10];-0.5;0
[10, 4, 10, 4, 12, 2, 11, 2];-0.5;0
[10, 4, 9, 5, 12, 2, 12, 8];-0.5;0
[9, 4, 9, 6, 14, 2, 10, 4];-0.5;0
[11, 7, 8, 5, 11, 4, 10, 2];-0.5;0
[10, 5, 12, 6, 12, 10, 14, 6];-0.5;0
[10, 7, 10, 6, 10, 6, 12, 8];-0.5;0
[12, 6, 10, 7, 13, 4, 11, 4];-0.5;0
[11, 8, 9, 8, 10, 2, 13, 8];-0.5;0
[8, 6, 10, 8, 13, 6, 11, 6];-0.5;0
[10, 6, 11, 4, 10, 6, 12, 10];-0.5;0
[11, 8, 8, 7, 12, 6, 13, 2];-0.5;0
[12, 8, 11, 6, 11, 6, 14, 6];-0.5;0
[9, 8, 8, 7, 11, 8, 10, 10];-0.5;0
[9, 8, 10, 8, 12, 4, 10, 2];-0.5;0
[8, 7, 10, 6, 11, 10, 10, 2];-0.5;0
[12, 5, 11, 7, 14, 6, 11, 2];-0.5;0
